productId,cloverItemId,nameFr,hadImage,tier,method,imageFile,imagePath,action,imageUrl
ce9f6296-2a91-4369-b132-60651dcd7d1e,GPXTWBR8JG5XE,Z174X,false,high,zlookup:Z174X,FD-50_gray-097612921502.jpg,Terrarium Accessories jpg/FD-50_gray-097612921502.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/GPXTWBR8JG5XE.jpg
67031d26-5d32-4d8a-b151-e44efb7b57f9,RRMVFPYJC17R2,Z175F ZooMed Repti Rock Food Dish Small,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/RRMVFPYJC17R2.jpg
7f3ec8ca-0b21-48fc-ab26-71110b6dfac7,BZSXN2NQ9AWJE,Z175M Combo Repti Rock Dishes SM,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/BZSXN2NQ9AWJE.jpg
1c9f113e-7c1b-4947-9bce-5eba5987218b,EDNSHX3NVFQXT,Z176 Zoomed Repti Rock Water Dish small,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/EDNSHX3NVFQXT.jpg
95e87e94-55cb-4396-9bee-365f8fb037d9,1Z66082TSHE64,Z177,false,high,zlookup:Z177,WD-20_grn-097612920208.jpg,Terrarium Accessories jpg/WD-20_grn-097612920208.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/1Z66082TSHE64.jpg
4417e4d9-65d3-47b9-a42d-265d4e4f7382,JY90DQWWJBJ5W,Z177F,false,high,zlookup:Z177F,FD-20_grn_097612921205.jpg,Terrarium Accessories jpg/FD-20_grn_097612921205.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/JY90DQWWJBJ5W.jpg
490ddd96-a3fb-4127-a4dd-6035c475822f,5TXGT1BNPKYGP,Z177M Combo Repti Rock Dishes MD,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/5TXGT1BNPKYGP.jpg
192d99f1-83e6-4753-a3ae-c58701abddbb,36JCZ6QQ5AXPA,Z178F,false,high,zlookup:Z178F,FD-40_grn-097612921403.jpg,Terrarium Accessories jpg/FD-40_grn-097612921403.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/36JCZ6QQ5AXPA.jpg
f4d93843-8b93-4c0b-a439-2482028b6c47,XATTBYMEMVR52,Z178M Combo Repti Rock Dishes LG,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/XATTBYMEMVR52.jpg
ce81900b-af0d-41e0-8a9b-cf29276ea952,JV8Z85MR7YQXM,Z179,false,high,zlookup:Z179,WD-40_gray-097612920406.jpg,Terrarium Accessories jpg/WD-40_gray-097612920406.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/JV8Z85MR7YQXM.jpg
0b183fc5-d0a6-4dc1-a3bc-1d5eba6b2dc0,0XNN15TMQWQHR,Z179F,false,high,zlookup:Z179F,FD-40_grn-097612921403.jpg,Terrarium Accessories jpg/FD-40_grn-097612921403.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/0XNN15TMQWQHR.jpg
