row_id,source,cloverItemId,siteId,name,cloverCategory,siteCategory,queueStatus,recordType,confidence,suggestedCloverCategory,suggestedSiteCategory,priceCAD,stockQty,published,hasImage,hasDescription,brand,cleanNameFr,recommendedAction,reason,notes
26,site_product_clover,ZD65986PXPWJG,3bbdfba7-b6ac-43e6-9918-c616c31cd919,"PT2365 Apareil d'éclairage, scorpions 15 DEL",,terrarium,created,product,high,Habitat,terrarium,30.49,0,no,no,no,Exo Terra,"Apareil d'éclairage, scorpions 15 DEL",enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
27,site_product_clover,PW0H92VPS9J18,338f6364-f2c2-4888-97db-8cf323bba931,PT2414 Terrasky Exoterra Led & control,,terrarium,created,product,high,Habitat,terrarium,239.99,0,no,no,no,Exo Terra,Terrasky Exoterra Led & control,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
28,site_product_clover,0M32GZK3ZH3YT,fe158f67-fde9-471e-8bcb-cf2ea8724954,PT2443 Exo Terra Incubation Box,,terrarium,created,product,high,Habitat,terrarium,14.99,0,no,no,no,Exo Terra,Exo Terra Incubation Box,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
29,site_product_clover,CWWKQATY01MST,34a11cfb-c665-40fc-be53-b18afe3dd400,PT2444 Exo Terra Tabletop Incubator,,terrarium,created,product,high,Habitat,terrarium,359.99,0,no,no,no,Exo Terra,Exo Terra Tabletop Incubator,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
30,site_product_clover,DY77NH4KYF1XJ,98c6d43d-6438-4a9b-8535-f2431c0320ec,PT2464  Ther. et 600w hygro.100w et minut,,terrarium,created,product,high,Habitat,terrarium,234.99,0,no,no,no,Exo Terra,Ther. et 600w hygro.100w et minut,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
31,site_product_clover,J0VJZQ4GTT08M,f8c0c369-1d95-47c7-9f98-e62912c73384,PT2468 Exo Terra Ramasse-Selles en acier,,terrarium,created,product,high,Habitat,terrarium,16.99,0,no,no,no,Exo Terra,Exo Terra Ramasse-Selles en acier,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
32,site_product_clover,SV4V4W7K1VR04,a954e0f1-5bed-4aaf-9492-40e9d22edcd6,PT2478 ExoTerra Boule de Mousse,,terrarium,created,product,high,Habitat,terrarium,12.49,0,no,no,no,Exo Terra,ExoTerra Boule de Mousse,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
33,site_product_clover,T0Y561J3VTTW6,b20f6c6f-05e1-44f4-bfa9-251bd2280c9e,PT2482 Tapis  de Mousse Exo Terra 45x45 cm,,terrarium,created,product,high,Habitat,terrarium,17.99,0,no,no,no,Exo Terra,Tapis  de Mousse Exo Terra 45x45 cm,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
34,site_product_clover,DGQ2M3ZHJMN4A,4058df19-dad7-415e-899f-18cbcc1aa1ec,PT2490 ExoTerra Plante à ruissellement Petit,,terrarium,created,product,high,Habitat,terrarium,54.99,0,no,no,no,Exo Terra,ExoTerra Plante à ruissellement Petit,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
35,site_product_clover,TRW60RMNWADQW,b3b0a3b5-265f-4224-9b68-52801293e8d5,PT2561 Tapis de Sable Exo Terra (mini),,terrarium,created,product,high,Habitat,terrarium,13.99,0,no,no,no,Exo Terra,Tapis de Sable Exo Terra (mini),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
